"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
148.536085006247,0,0,193.448894854333,1,1,193.448894854333,1,2,193.448894854333,1,3,193.448894854333,1,4,193.448894854333,1,5,193.448894854333,1,6,193.448894854333,1,7,193.448894854333,1,8,193.448894854333,1,9,193.448894854333,1,10,193.448894854333,1,11,193.448894854333,1,12,193.448894854333,1,13,193.448894854333,1,14,193.448894854333,1,15,193.448894854333,1,16,193.448894854333,1,17,193.448894854333,1,18,193.448894854333,1,19,193.448894854333,1,20,193.448894854333,1,21,193.448894854333,1,22,193.448894854333,1,23,193.448894854333,1,24,193.448894854333,1,25,193.448894854333,1,26,193.448894854333,1,27
130.328227635593,0,0,173.126436382625,1,1,173.126436382625,1,2,173.126436382625,1,3,173.126436382625,1,4,173.126436382625,1,5,173.126436382625,1,6,173.126436382625,1,7,173.126436382625,1,8,173.126436382625,1,9,173.126436382625,1,10,173.126436382625,1,11,173.126436382625,1,12,173.126436382625,1,13,173.126436382625,1,14,173.126436382625,1,15,173.126436382625,1,16,173.126436382625,1,17,173.126436382625,1,18,173.126436382625,1,19,173.126436382625,1,20,173.126436382625,1,21,173.126436382625,1,22,173.126436382625,1,23,173.126436382625,1,24,173.126436382625,1,25,173.126436382625,1,26,173.126436382625,1,27
116.01256283428,0,0,156.144277637617,1,1,156.144277637617,1,2,156.144277637617,1,3,156.144277637617,1,4,156.144277637617,1,5,156.144277637617,1,6,156.144277637617,1,7,156.144277637617,1,8,156.144277637617,1,9,156.144277637617,1,10,156.144277637617,1,11,156.144277637617,1,12,156.144277637617,1,13,156.144277637617,1,14,156.144277637617,1,15,156.144277637617,1,16,156.144277637617,1,17,156.144277637617,1,18,156.144277637617,1,19,156.144277637617,1,20,156.144277637617,1,21,156.144277637617,1,22,156.144277637617,1,23,156.144277637617,1,24,156.144277637617,1,25,156.144277637617,1,26,156.144277637617,1,27
104.464488410676,0,0,141.833888975956,1,1,141.833888975956,1,2,141.833888975956,1,3,141.833888975956,1,4,141.833888975956,1,5,141.833888975956,1,6,141.833888975956,1,7,141.833888975956,1,8,141.833888975956,1,9,141.833888975956,1,10,141.833888975956,1,11,141.833888975956,1,12,141.833888975956,1,13,141.833888975956,1,14,141.833888975956,1,15,141.833888975956,1,16,141.833888975956,1,17,141.833888975956,1,18,141.833888975956,1,19,141.833888975956,1,20,141.833888975956,1,21,141.833888975956,1,22,141.833888975956,1,23,141.833888975956,1,24,141.833888975956,1,25,141.833888975956,1,26,141.833888975956,1,27
94.8996107303963,0,0,129.670680268491,1,1,129.670680268491,1,2,129.670680268491,1,3,129.670680268491,1,4,129.670680268491,1,5,129.670680268491,1,6,129.670680268491,1,7,129.670680268491,1,8,129.670680268491,1,9,129.670680268491,1,10,129.670680268491,1,11,129.670680268491,1,12,129.670680268491,1,13,129.670680268491,1,14,129.670680268491,1,15,129.670680268491,1,16,129.670680268491,1,17,129.670680268491,1,18,129.670680268491,1,19,129.670680268491,1,20,129.670680268491,1,21,129.670680268491,1,22,129.670680268491,1,23,129.670680268491,1,24,129.670680268491,1,25,129.670680268491,1,26,129.670680268491,1,27
86.5501525626485,0,0,119.094702971127,1,1,119.094702971127,1,2,119.094702971127,1,3,119.094702971127,1,4,119.094702971127,1,5,119.094702971127,1,6,119.094702971127,1,7,119.094702971127,1,8,119.094702971127,1,9,119.094702971127,1,10,119.094702971127,1,11,119.094702971127,1,12,119.094702971127,1,13,119.094702971127,1,14,119.094702971127,1,15,119.094702971127,1,16,119.094702971127,1,17,119.094702971127,1,18,119.094702971127,1,19,119.094702971127,1,20,119.094702971127,1,21,119.094702971127,1,22,119.094702971127,1,23,119.094702971127,1,24,119.094702971127,1,25,119.094702971127,1,26,119.094702971127,1,27
80.7677504629978,0,0,110.990500028101,1,1,110.990500028101,1,2,110.990500028101,1,3,110.990500028101,1,4,110.990500028101,1,5,110.990500028101,1,6,110.990500028101,1,7,110.990500028101,1,8,110.990500028101,1,9,110.990500028101,1,10,110.990500028101,1,11,110.990500028101,1,12,110.990500028101,1,13,110.990500028101,1,14,110.990500028101,1,15,110.990500028101,1,16,110.990500028101,1,17,110.990500028101,1,18,110.990500028101,1,19,110.990500028101,1,20,110.990500028101,1,21,110.990500028101,1,22,110.990500028101,1,23,110.990500028101,1,24,110.990500028101,1,25,110.990500028101,1,26,110.990500028101,1,27
77.365868557973,0,0,105.111173403898,1,1,105.111173403898,1,2,105.111173403898,1,3,105.111173403898,1,4,105.111173403898,1,5,105.111173403898,1,6,105.111173403898,1,7,105.111173403898,1,8,105.111173403898,1,9,105.111173403898,1,10,105.111173403898,1,11,105.111173403898,1,12,105.111173403898,1,13,105.111173403898,1,14,105.111173403898,1,15,105.111173403898,1,16,105.111173403898,1,17,105.111173403898,1,18,105.111173403898,1,19,105.111173403898,1,20,105.111173403898,1,21,105.111173403898,1,22,105.111173403898,1,23,105.111173403898,1,24,105.111173403898,1,25,105.111173403898,1,26,105.111173403898,1,27
74.4905055459916,0,0,100.068589245347,1,1,100.068589245347,1,2,100.068589245347,1,3,100.068589245347,1,4,100.068589245347,1,5,100.068589245347,1,6,100.068589245347,1,7,100.068589245347,1,8,100.068589245347,1,9,100.068589245347,1,10,100.068589245347,1,11,100.068589245347,1,12,100.068589245347,1,13,100.068589245347,1,14,100.068589245347,1,15,100.068589245347,1,16,100.068589245347,1,17,100.068589245347,1,18,100.068589245347,1,19,100.068589245347,1,20,100.068589245347,1,21,100.068589245347,1,22,100.068589245347,1,23,100.068589245347,1,24,100.068589245347,1,25,100.068589245347,1,26,100.068589245347,1,27
72.0440838664541,0,0,95.7253567733769,1,1,95.7253567733769,1,2,95.7253567733769,1,3,95.7253567733769,1,4,95.7253567733769,1,5,95.7253567733769,1,6,95.7253567733769,1,7,95.7253567733769,1,8,95.7253567733769,1,9,95.7253567733769,1,10,95.7253567733769,1,11,95.7253567733769,1,12,95.7253567733769,1,13,95.7253567733769,1,14,95.7253567733769,1,15,95.7253567733769,1,16,95.7253567733769,1,17,95.7253567733769,1,18,95.7253567733769,1,19,95.7253567733769,1,20,95.7253567733769,1,21,95.7253567733769,1,22,95.7253567733769,1,23,95.7253567733769,1,24,95.7253567733769,1,25,95.7253567733769,1,26,95.7253567733769,1,27
