"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
2453.57166981422,0,0,2811.1737953555,1,1,2811.1737953555,1,2,2811.1737953555,1,3,2811.1737953555,1,4,2811.1737953555,1,5,2811.1737953555,1,6,2811.1737953555,1,7,2811.1737953555,1,8,2811.1737953555,1,9,2811.1737953555,1,10,2811.1737953555,1,11,2811.1737953555,1,12,2811.1737953555,1,13,2811.1737953555,1,14,2811.1737953555,1,15,2811.1737953555,1,16,2811.1737953555,1,17,2811.1737953555,1,18,2811.1737953555,1,19,2811.1737953555,1,20,2811.1737953555,1,21,2811.1737953555,1,22,2811.1737953555,1,23,2811.1737953555,1,24,2811.1737953555,1,25,2811.1737953555,1,26,2811.1737953555,1,27
2330.03390500441,0,0,2671.89875658693,1,1,2671.89875658693,1,2,2671.89875658693,1,3,2671.89875658693,1,4,2671.89875658693,1,5,2671.89875658693,1,6,2671.89875658693,1,7,2671.89875658693,1,8,2671.89875658693,1,9,2671.89875658693,1,10,2671.89875658693,1,11,2671.89875658693,1,12,2671.89875658693,1,13,2671.89875658693,1,14,2671.89875658693,1,15,2671.89875658693,1,16,2671.89875658693,1,17,2671.89875658693,1,18,2671.89875658693,1,19,2671.89875658693,1,20,2671.89875658693,1,21,2671.89875658693,1,22,2671.89875658693,1,23,2671.89875658693,1,24,2671.89875658693,1,25,2671.89875658693,1,26,2671.89875658693,1,27
2224.81013395286,0,0,2548.82287385411,1,1,2548.82287385411,1,2,2548.82287385411,1,3,2548.82287385411,1,4,2548.82287385411,1,5,2548.82287385411,1,6,2548.82287385411,1,7,2548.82287385411,1,8,2548.82287385411,1,9,2548.82287385411,1,10,2548.82287385411,1,11,2548.82287385411,1,12,2548.82287385411,1,13,2548.82287385411,1,14,2548.82287385411,1,15,2548.82287385411,1,16,2548.82287385411,1,17,2548.82287385411,1,18,2548.82287385411,1,19,2548.82287385411,1,20,2548.82287385411,1,21,2548.82287385411,1,22,2548.82287385411,1,23,2548.82287385411,1,24,2548.82287385411,1,25,2548.82287385411,1,26,2548.82287385411,1,27
2135.12260991934,0,0,2439.7928485022,1,1,2439.7928485022,1,2,2439.7928485022,1,3,2439.7928485022,1,4,2439.7928485022,1,5,2439.7928485022,1,6,2439.7928485022,1,7,2439.7928485022,1,8,2439.7928485022,1,9,2439.7928485022,1,10,2439.7928485022,1,11,2439.7928485022,1,12,2439.7928485022,1,13,2439.7928485022,1,14,2439.7928485022,1,15,2439.7928485022,1,16,2439.7928485022,1,17,2439.7928485022,1,18,2439.7928485022,1,19,2439.7928485022,1,20,2439.7928485022,1,21,2439.7928485022,1,22,2439.7928485022,1,23,2439.7928485022,1,24,2439.7928485022,1,25,2439.7928485022,1,26,2439.7928485022,1,27
2058.68190870522,0,0,2342.94335900683,1,1,2342.94335900683,1,2,2342.94335900683,1,3,2342.94335900683,1,4,2342.94335900683,1,5,2342.94335900683,1,6,2342.94335900683,1,7,2342.94335900683,1,8,2342.94335900683,1,9,2342.94335900683,1,10,2342.94335900683,1,11,2342.94335900683,1,12,2342.94335900683,1,13,2342.94335900683,1,14,2342.94335900683,1,15,2342.94335900683,1,16,2342.94335900683,1,17,2342.94335900683,1,18,2342.94335900683,1,19,2342.94335900683,1,20,2342.94335900683,1,21,2342.94335900683,1,22,2342.94335900683,1,23,2342.94335900683,1,24,2342.94335900683,1,25,2342.94335900683,1,26,2342.94335900683,1,27
1994.65392511181,0,0,2257.25423791738,1,1,2257.25423791738,1,2,2257.25423791738,1,3,2257.25423791738,1,4,2257.25423791738,1,5,2257.25423791738,1,6,2257.25423791738,1,7,2257.25423791738,1,8,2257.25423791738,1,9,2257.25423791738,1,10,2257.25423791738,1,11,2257.25423791738,1,12,2257.25423791738,1,13,2257.25423791738,1,14,2257.25423791738,1,15,2257.25423791738,1,16,2257.25423791738,1,17,2257.25423791738,1,18,2257.25423791738,1,19,2257.25423791738,1,20,2257.25423791738,1,21,2257.25423791738,1,22,2257.25423791738,1,23,2257.25423791738,1,24,2257.25423791738,1,25,2257.25423791738,1,26,2257.25423791738,1,27
1943.75159831073,0,0,2188.84484975802,1,1,2188.84484975802,1,2,2188.84484975802,1,3,2188.84484975802,1,4,2188.84484975802,1,5,2188.84484975802,1,6,2188.84484975802,1,7,2188.84484975802,1,8,2188.84484975802,1,9,2188.84484975802,1,10,2188.84484975802,1,11,2188.84484975802,1,12,2188.84484975802,1,13,2188.84484975802,1,14,2188.84484975802,1,15,2188.84484975802,1,16,2188.84484975802,1,17,2188.84484975802,1,18,2188.84484975802,1,19,2188.84484975802,1,20,2188.84484975802,1,21,2188.84484975802,1,22,2188.84484975802,1,23,2188.84484975802,1,24,2188.84484975802,1,25,2188.84484975802,1,26,2188.84484975802,1,27
1902.19976225351,0,0,2134.79004695115,1,1,2134.79004695115,1,2,2134.79004695115,1,3,2134.79004695115,1,4,2134.79004695115,1,5,2134.79004695115,1,6,2134.79004695115,1,7,2134.79004695115,1,8,2134.79004695115,1,9,2134.79004695115,1,10,2134.79004695115,1,11,2134.79004695115,1,12,2134.79004695115,1,13,2134.79004695115,1,14,2134.79004695115,1,15,2134.79004695115,1,16,2134.79004695115,1,17,2134.79004695115,1,18,2134.79004695115,1,19,2134.79004695115,1,20,2134.79004695115,1,21,2134.79004695115,1,22,2134.79004695115,1,23,2134.79004695115,1,24,2134.79004695115,1,25,2134.79004695115,1,26,2134.79004695115,1,27
1865.9364393124,0,0,2086.30755042538,1,1,2086.30755042538,1,2,2086.30755042538,1,3,2086.30755042538,1,4,2086.30755042538,1,5,2086.30755042538,1,6,2086.30755042538,1,7,2086.30755042538,1,8,2086.30755042538,1,9,2086.30755042538,1,10,2086.30755042538,1,11,2086.30755042538,1,12,2086.30755042538,1,13,2086.30755042538,1,14,2086.30755042538,1,15,2086.30755042538,1,16,2086.30755042538,1,17,2086.30755042538,1,18,2086.30755042538,1,19,2086.30755042538,1,20,2086.30755042538,1,21,2086.30755042538,1,22,2086.30755042538,1,23,2086.30755042538,1,24,2086.30755042538,1,25,2086.30755042538,1,26,2086.30755042538,1,27
1834.06546720678,0,0,2042.51727830425,1,1,2042.51727830425,1,2,2042.51727830425,1,3,2042.51727830425,1,4,2042.51727830425,1,5,2042.51727830425,1,6,2042.51727830425,1,7,2042.51727830425,1,8,2042.51727830425,1,9,2042.51727830425,1,10,2042.51727830425,1,11,2042.51727830425,1,12,2042.51727830425,1,13,2042.51727830425,1,14,2042.51727830425,1,15,2042.51727830425,1,16,2042.51727830425,1,17,2042.51727830425,1,18,2042.51727830425,1,19,2042.51727830425,1,20,2042.51727830425,1,21,2042.51727830425,1,22,2042.51727830425,1,23,2042.51727830425,1,24,2042.51727830425,1,25,2042.51727830425,1,26,2042.51727830425,1,27
