rmort,rmortTB,CDRscaleO,fchild,vchild,rchild,w,pchild,pelderly,padult,n,uiscaleC,relderly,radult,x,fadult,felderly,vadult,CDRscale,e,nelderly,velderly,uiscaleA,uiscaleE,neta,CDRscaleE,p0
-0.6,-0.931219571,0.690759728,0.112077372,0.000150597,0.009703629,0.011503386,0.017902745,0.283895553,0.15520538,0.175216692,1.619905903,0.007194033,0.005489662,0.316572187,0.742065807,0.71373313,0.000240026,0.44520292,0.651883468,0.10383242,0.00270293,0.577394392,1.092429989,2.304725083,-0.049347584,1267142
-0.6,-0.952329382,0.832800129,0.119904154,0.000128383,0.00540658,0.016582303,0.018500548,0.258631576,0.165282221,0.1844498,1.873592854,0.017831984,0.005015096,0.253757808,0.743140833,0.724615381,0.00022246,0.466784474,0.635272755,0.112739612,0.001064155,0.555899303,0.967497846,2.270224568,-0.055898797,1267142
-0.6,-0.943346161,-0.343027389,0.144071043,0.000157341,0.005215765,0.013053349,0.021302845,0.309349183,0.150219536,0.188289205,1.987393854,0.020739781,0.005224702,0.326090194,0.734057207,0.712097334,0.000221999,0.401015537,0.738368206,0.113270545,0.000663637,0.754300688,1.20309598,2.464634595,-0.050785436,1267142
-0.6,-0.916451787,0.292827229,0.139794051,0.000104769,0.00664091,0.017087219,0.026520195,0.250701076,0.171469551,0.194059752,1.268308961,0.011726073,0.007096896,0.354082305,0.739702622,0.725842846,0.000233155,0.406973453,0.684028608,0.109081183,0.002272185,0.45041362,0.50093,2.039866218,0.036412146,1267142
-0.6,-0.929813592,0.213227612,0.129300161,0.000140842,0.00589774,0.015740917,0.021756211,0.247489531,0.143509022,0.176622497,1.185576744,0.015542548,0.005084146,0.279024233,0.749263874,0.735047679,0.000213473,0.452065385,0.67981882,0.106359218,0.001337622,0.548378184,0.859423875,2.593240355,-0.019348931,1267142
-0.6,-0.929491567,0.965526324,0.12964312,0.000151653,0.009358031,0.010885358,0.020269186,0.290777274,0.153152585,0.175260695,1.522337243,0.005916009,0.005308284,0.325821115,0.735605368,0.677746765,0.000249486,0.483470204,0.616352667,0.10494559,0.003003578,0.293050131,1.122128677,2.356167352,-0.052908143,1267142
-0.6,-0.846272898,0.768900329,0.141664022,0.000125048,0.006869904,0.014606391,0.018090703,0.278926287,0.150107422,0.187724076,1.235553393,0.007654547,0.005766311,0.315503575,0.744277609,0.669477918,0.000263314,0.433048791,0.712212844,0.112217226,0.002292223,0.292316474,0.331587122,2.51891172,-0.092870383,1267142
-0.6,-0.928896111,0.5032573,0.121273505,0.000124914,0.00538285,0.013911497,0.022182938,0.271509813,0.159506246,0.188486952,1.152513432,0.01301642,0.005632153,0.260981854,0.694279653,0.626498927,0.000236489,0.40478241,0.762786721,0.100332735,0.001997625,0.507691641,0.587284733,2.373399119,-0.046352324,1267142
-0.6,-0.80125351,-0.320756577,0.14617346,0.000170335,0.006934571,0.011728244,0.018265176,0.308954339,0.159738317,0.209415819,1.891597005,0.007080553,0.005317576,0.273408706,0.749528896,0.65867333,0.000188231,0.413770985,0.79804039,0.110459023,0.002434486,0.096981858,0.325634569,2.382924311,-0.154761332,1267142
-0.6,-0.914355731,-0.083460716,0.134120662,0.000111505,0.00587193,0.011495751,0.027251191,0.265449103,0.187018969,0.207470764,1.774416765,0.019976037,0.005166334,0.281956019,0.747723484,0.667095396,0.000219365,0.413097637,0.632960466,0.100264229,0.000402903,0.355244539,0.419425548,2.068501515,-0.056102479,1267142
-0.6,-0.938111293,0.685575562,0.115192778,0.000155217,0.009857973,0.011679054,0.016731333,0.283417425,0.160139192,0.182496328,1.768880695,0.008638139,0.005263018,0.316367495,0.736207425,0.720955836,0.000239376,0.483247521,0.646960538,0.100284638,0.002171012,0.596797329,1.133169976,2.465168063,-0.019637143,1267142
-0.6,-0.923209351,-0.141729492,0.13598468,0.000193316,0.005465528,0.011591739,0.019469681,0.260305081,0.165041856,0.20100685,1.798181348,0.010861854,0.005659054,0.289082229,0.710436484,0.681405685,0.000200566,0.366644684,0.770341914,0.121255637,0.002419534,0.407184761,0.492762475,2.224610234,-0.117089557,1267142
-0.6,-0.800939778,-0.23686729,0.141377925,0.000172575,0.007384855,0.013013782,0.015756956,0.306448694,0.161300061,0.214691369,1.884127938,0.014611303,0.005333224,0.262564189,0.738767973,0.685568262,0.000201167,0.372680856,0.790144864,0.107890145,0.001224809,0.187926703,0.292826054,2.45559925,-0.097209842,1267142
-0.6,-0.934273726,-0.398156181,0.143023701,0.000144673,0.005511949,0.012700671,0.02171839,0.313867097,0.153231237,0.193216361,1.910718349,0.021773978,0.005121979,0.309918456,0.737589813,0.73005311,0.000215382,0.398809215,0.776070412,0.114976823,0.000712696,0.651829172,1.409640066,2.432050205,-0.086169028,1267142
-0.6,-0.827527421,0.242973622,0.103952126,0.000151464,0.005523235,0.014354033,0.016608922,0.276763858,0.148461463,0.192930397,1.124752775,0.008960681,0.006324176,0.277309324,0.725304304,0.725285797,0.000232024,0.356224896,0.771907059,0.1083669,0.002399967,0.273184312,0.429638217,2.441673868,-0.075799211,1267142
-0.6,-0.911952366,0.74294673,0.12376345,0.000115154,0.005144934,0.016701411,0.019623291,0.248890508,0.162468608,0.177067757,1.831373249,0.015876727,0.005150809,0.252411619,0.735810198,0.728511834,0.000226895,0.488975806,0.624974964,0.104715062,0.001505075,0.470737368,0.785569903,2.420250633,-0.050443455,1267142
-0.6,-0.914263283,0.235012529,0.148791823,0.000134829,0.005059997,0.016285979,0.027241036,0.266327868,0.171022076,0.209800194,1.480629138,0.008768705,0.005617761,0.36081333,0.748973401,0.729668856,0.000233461,0.393354153,0.662593077,0.146361837,0.002822696,0.247688261,0.445467181,2.096724647,-0.110226115,1267142
-0.6,-0.927808856,0.510886879,0.134035636,0.000121399,0.005934446,0.012176896,0.019569404,0.291212033,0.144581242,0.189911104,1.386721832,0.010231569,0.005409816,0.295417589,0.748680757,0.745107223,0.000237032,0.470120413,0.775569461,0.110445474,0.001683799,0.36621053,0.541221455,2.643438898,0.003587325,1267142
-0.6,-0.869897786,-0.051606101,0.129428285,0.000120726,0.006451309,0.015670834,0.026550729,0.256504192,0.177651421,0.198533829,1.406684635,0.013055949,0.006746428,0.346347305,0.734905528,0.732862149,0.000239239,0.42330498,0.675161807,0.106120383,0.001405697,0.379683767,0.4111866,2.163250475,-0.075775563,1267142
-0.6,-0.942826644,0.766499162,0.116436431,0.000148585,0.009538662,0.011911349,0.018944436,0.262505818,0.158902013,0.176940281,1.598817715,0.007168228,0.005308945,0.323304708,0.743435484,0.725696067,0.000232602,0.497103783,0.638307751,0.109730459,0.002677709,0.461804423,1.198394787,2.352099633,-0.060373352,1267142
-0.6,-0.930756979,0.760311265,0.115283959,0.000150945,0.009690234,0.011450886,0.01702489,0.286804345,0.156434678,0.178640593,1.67663083,0.005992668,0.005307173,0.317705721,0.735697255,0.714394519,0.0002373,0.446799369,0.654346764,0.10136938,0.00274611,0.56746011,1.067069218,2.343147783,-0.068980213,1267142
-0.6,-0.912638345,0.554281705,0.132071025,0.000154057,0.006491147,0.0170266,0.021718111,0.236448384,0.158841384,0.18920926,1.932202369,0.020154306,0.006347746,0.264692018,0.741151796,0.739207655,0.000230621,0.450075694,0.642458463,0.105492949,0.001075069,0.263728171,0.792986077,2.272235196,-0.031468145,1267142
-0.6,-0.913853642,-0.066145356,0.137926163,0.000105347,0.005834081,0.011461361,0.026812461,0.276600261,0.188670549,0.205588068,1.742619964,0.016863488,0.005131459,0.282478941,0.744193085,0.675156756,0.000221034,0.419099829,0.634654399,0.103387588,0.001029049,0.348450256,0.444207715,2.051506316,-0.042606235,1267142
